animal_type,intake_year,breed,Count of breed
Dog,2013,Newfoundland/Queensland Heeler,1
Dog,2013,Boxer/Doberman Pinsch,1
Dog,2013,Norfolk Terrier/Yorkshire Terrier,1
Dog,2013,Boxer/German Shepherd,1
Dog,2013,Old English Sheepdog,1
Dog,2013,Australian Shepherd/Greyhound,1
Dog,2013,Bearded Collie Mix,1
Dog,2013,Jack Russell Terrier/Brittany,1
Dog,2013,Chihuahua Longhair/Papillon,1
Dog,2013,Jack Russell Terrier/Cairn Terrier,1
Dog,2013,Afghan Hound Mix,1
Dog,2013,American Bulldog/Pit Bull,1
Dog,2013,Chihuahua Shorthair/Boston Terrier,1
Dog,2013,Jack Russell Terrier/Dachshund,1
Dog,2013,Picardy Sheepdog,1
Dog,2013,Jack Russell Terrier/Miniature Poodle,1
Dog,2013,Akita/German Shepherd,1
Dog,2013,Australian Shepherd/Rhod Ridgeback,1
Dog,2013,Pit Bull/Australian Cattle Dog,1
Dog,2013,Jack Russell Terrier/Yorkshire Terrier,1
Dog,2013,Chihuahua Shorthair/Jack Russell Terrier,1
Dog,2013,Japanese Chin Mix,1
Dog,2013,Pit Bull/Catahoula,1
Dog,2013,Keeshond Mix,1
Dog,2013,Chihuahua Shorthair/Manchester Terrier,1
Dog,2013,Kuvasz/Labrador Retriever,1
Dog,2013,Pit Bull/German Shepherd,1
Dog,2013,Australian Cattle Dog/Belgian Malinois,1
Dog,2013,Belgian Malinois/Australian Shepherd,1
Dog,2013,Airedale Terrier,1
Dog,2013,Pit Bull/Pug,1
Dog,2013,American Staffordshire Terrier/Pit Bull,1
Dog,2013,Chihuahua Shorthair/Papillon,1
Dog,2013,Labrador Retriever/Australian Kelpie,1
Dog,2013,Plott Hound/Black/Tan Hound,1
Dog,2013,Labrador Retriever/Australian Shepherd,1
Dog,2013,Plott Hound/Pit Bull,1
Dog,2013,Bruss Griffon/Maltese,1
Dog,2013,American Pit Bull Terrier,1
Dog,2013,Bull Terrier Miniature Mix,1
Dog,2013,Chihuahua Shorthair/Whippet,1
Dog,2013,Labrador Retriever/Beauceron,1
Dog,2013,Pointer/Collie Smooth,1
Dog,2013,American Bulldog/Pointer,1
Dog,2013,Chinese Sharpei,1
Dog,2013,Bulldog/Australian Cattle Dog,1
Dog,2013,Chinese Sharpei/Border Collie,1
Dog,2013,Labrador Retriever/Boston Terrier,1
Dog,2013,Port Water Dog Mix,1
Dog,2013,Basset Hound/Australian Cattle Dog,1
Dog,2013,Chow Chow,1
Dog,2013,Basset Hound/Australian Shepherd,1
Dog,2013,Pug/Chihuahua Shorthair,1
Dog,2013,Anatol Shepherd/Collie Rough,1
Dog,2013,Rat Terrier,1
Dog,2013,Labrador Retriever/Collie Smooth,1
Dog,2013,Rat Terrier/Australian Cattle Dog,1
Dog,2013,Labrador Retriever/Dachshund,1
Dog,2013,Rat Terrier/Pit Bull,1
Dog,2013,Labrador Retriever/Flat Coat Retriever,1
Dog,2013,Redbone Hound,1
Dog,2013,Australian Cattle Dog/English Coonhound,1
Dog,2013,Redbone Hound/Boxer,1
Dog,2013,Canaan Dog/Pit Bull,1
Dog,2013,Rhod Ridgeback,1
Dog,2013,Cane Corso Mix,1
Dog,2013,Rhod Ridgeback/Pit Bull,1
Dog,2013,Labrador Retriever/Greyhound,1
Dog,2013,Cocker Spaniel/Miniature Poodle,1
Dog,2013,Labrador Retriever/Jack Russell Terrier,1
Dog,2013,Collie Rough/Australian Cattle Dog,1
Dog,2013,Beagle/American Staffordshire Terrier,1
Dog,2013,Scottish Terrier Mix,1
Dog,2013,Labrador Retriever/Rhod Ridgeback,1
Dog,2013,Black/Tan Hound/Labrador Retriever,1
Dog,2013,Cardigan Welsh Corgi/Australian Cattle Dog,1
Dog,2013,Shetland Sheepdog/Italian Greyhound,1
Dog,2013,Cardigan Welsh Corgi/Australian Kelpie,1
Dog,2013,Collie Smooth/Golden Retriever,1
Dog,2013,Cardigan Welsh Corgi/Beagle,1
